id,phase,speaker,text,next_id,action,target,notes
ward_intro_001,ward_enter,兔子护士,院长，雾雾已经安顿好了。不过她看起来……还是有些没精神。,ward_intro_002,,,进入 ward 后自动触发
ward_intro_002,ward_enter,雾雾,这里很安静。很适合我……不会打扰到别人。,ward_intro_choice_01,,,
ward_intro_choice_01,ward_enter,玩家,你不喜欢这里吗？|这里就是你的房间。|不舒服就换一间。,,choice,,A→ward_intro_004a；B→ward_intro_004b；C→ward_intro_004c
ward_intro_004a,ward_enter,雾雾,不是的。能留下来，我已经很感谢了。,ward_intro_005,,,
ward_intro_004b,ward_enter,雾雾,现在就可以……这样决定吗？,ward_intro_005,trust_preview,Wuwu,最佳选项；仅表现反馈，暂不正式加数值
ward_intro_004c,ward_enter,雾雾,不用为我这么麻烦。我住哪里都一样。,ward_intro_005,,,
ward_intro_005,ward_enter,雾雾,只是房间再好，也不一定真的属于我。,ward_intro_006,,,
ward_intro_006,ward_enter,雾雾,等大家忘记我以后，它又会变回一间空房。,ward_intro_007,,,
ward_intro_007,ward_enter,兔子护士,院长，你听见了吗？右边好像有什么东西掉了。,ward_intro_008,play_sfx,right_wall,播放轻微木片碰撞声
ward_intro_008,ward_enter,雾雾,刚才……墙那边好像有声音。,ward_intro_009,,,
ward_intro_009,ward_enter,雾雾,可能只是东西掉了。没关系，不用管我的。,ward_intro_choice_02,,,
ward_intro_choice_02,ward_enter,玩家,我们一起去看看。|你带我去看看？|我去看，你在这等。,,choice,,A→ward_intro_011a；B→ward_intro_011b；C→ward_intro_011c
ward_intro_011a,ward_enter,雾雾,一起……吗？,ward_intro_012,,,
ward_intro_011b,ward_enter,雾雾,我来带路？……我可以试试。,ward_intro_012,trust_preview,Wuwu,最佳选项；强化雾雾的主动性
ward_intro_011c,ward_enter,雾雾,好……我不会添麻烦的。,ward_intro_012,,,
ward_intro_012,ward_enter,雾雾,那面右墙后面就是门牌的位置。如果你愿意的话，可以点一下右边看看。,ward_wait_right_wall,highlight,FullView/RightWall,对白结束后高亮右墙并等待点击
ward_wait_right_wall,interaction,系统,点击右侧墙面。,ward_right_001,wait_click,FullView/RightWall,玩家点击后切换至 RightView
ward_right_001,right_view,兔子护士,原来是门牌掉了，字块散得到处都是。,ward_right_002,,,
ward_right_002,right_view,雾雾,原来是门牌……,ward_right_003,,,
ward_right_003,right_view,雾雾,上面本来应该写住在这里的人的名字。,ward_right_004,,,
ward_right_004,right_view,雾雾,不过空着也没关系。反正我的名字……没有那么重要。,ward_right_choice_01,,,
ward_right_choice_01,right_view,玩家,一起拼回名字。|门牌该写什么？|空着会有人走错。,,choice,,A→ward_right_006a；B→ward_right_006b；C→ward_right_006c
ward_right_006a,right_view,雾雾,要写……我的名字吗？可是，如果拼错了……,ward_right_007,,,
ward_right_006b,right_view,雾雾,我可以自己决定吗？那……我想写雾雾。可是，如果拼错了……,ward_right_007,trust_preview,Wuwu,最佳选项；让雾雾主动说出名字
ward_right_006c,right_view,雾雾,原来是为了这个……那就麻烦你了。可是，如果拼错了……,ward_right_007,,,
ward_right_007,right_view,玩家,拼错了就再试一次。我会记得。,ward_right_008,,,
ward_right_008,right_view,雾雾,那……请你帮帮我。,ward_wait_puzzle,highlight,RightView/NamePlate,对白结束后高亮名字牌
ward_wait_puzzle,interaction,系统,点击散落的名字牌，拼出“雾雾的房间”。,ward_puzzle_complete,open_block_puzzle,RightView/NamePlate,点击后打开 Block Puzzle；完成前暂停对白
ward_puzzle_complete,puzzle_complete,兔子护士,拼好了！院长快看，上面写着“雾雾的房间”。,ward_complete_001,replace_nameplate,RightView/NamePlate,仅在拼图成功后触发
ward_complete_001,puzzle_complete,雾雾,这是……我的房间？,ward_complete_002,,,
ward_complete_002,puzzle_complete,雾雾,不是暂时让我待着的地方？,ward_complete_003,,,
ward_complete_003,puzzle_complete,雾雾,就算我什么都做不好，名字也可以留在这里吗？,ward_complete_choice_01,,,
ward_complete_choice_01,puzzle_complete,玩家,因为这里属于你。|你亲自挂上吧。|我们已经拼好了。,,choice,,A→ward_complete_004a；B→ward_complete_004b；C→ward_complete_004c
ward_complete_004a,puzzle_complete,雾雾,原来只要是我，就可以留下名字。,ward_complete_005,grant_bonus_trust,Wuwu,最佳选项；信任值额外 +1
ward_complete_004b,puzzle_complete,雾雾,我来吗？……好，我想试试。,ward_complete_005,grant_bonus_trust,Wuwu,最佳选项；播放雾雾挂门牌动作；信任值额外 +1
ward_complete_004c,puzzle_complete,雾雾,嗯……至少现在，它还在这里。,ward_complete_005,,,
ward_complete_005,puzzle_complete,雾雾,雾雾的房间……,ward_complete_006,,,
ward_complete_006,puzzle_complete,雾雾,我想再看一会儿。这样下次害怕的时候，我就知道自己没有走错。,ward_complete_reward,,,
ward_complete_reward,reward,系统,名字牌已修复。雾雾存在感 +10，信任值 +5。,,grant_reward,Wuwu,首次完成时只发放一次
